Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,277.9,130.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,140.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,271.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,416.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,557.6,0,0,0,0,0,0,0,0,0,0,0
0,2116.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,117.5,0,0,0,0,0,0,0,0,0,0,0
0,289.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,609.7,0,0,0,125.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,466.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,231.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,426.7,179.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0
0,0,543.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4346.4,0,0,0,0,0,0,0,0,0,0,0
0,676.8,937.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,897.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,117.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,248.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,130.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,242.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,186.8,0,0,0,0,0,0,0,0,0,0,0
6170.7,20238,366.7,85.8,234.1,54531.6,0,3229.3,0,0,0,0,0,0,0,0,61
3856,493.4,0,0,538.1,3247.9,0,0,0,0,0,0,0,0,0,0,0
0,0,1820.7,0,0,0,0,1033.5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,129.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,221.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,222.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,202.9,0,0,0,0,0,0,0,0,0,0,0,0
0,369.6,296,0,0,7265.7,0,0,0,0,0,0,0,0,0,0,0
0,1786.5,0,0,0,323.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,235.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,316.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,201.2,0,0,0,0,0,0,0,0,0,0,0
3631.6,7300.5,917,0,90.9,14767.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,166.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,433.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,133.8,0,0,0,0,0,0,0,0,0,0,0
0,2253.9,0,0,0,1381.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,220.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,216.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,377.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,113.3,0,0,0,0,0,0,0,0,0,0,0
0,610.6,0,0,0,526.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1081.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,405.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,153.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,220.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,172.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,341.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,181.6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,605.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,154.1,0,0,0,0,0,0,0,0,0,0,0
0,6318.8,0,0,0,1180.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,744.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,97.8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1408.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0
0,2350.9,0,0,0,722.7,0,0,0,0,0,0,0,0,0,0,0
0,434.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1076.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,414.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,115.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1852.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,762.2,0,0,0,0,0,0,0,0,0,0,0
